status,scenario_id,family,world_id,seed_namespace,seed,run_id,digest,items,completed,failed,censored
developmental_synthetic,baseline_hie,development,world_hie,development,4316497584180809060,world_hie-seed-4316497584180809060,43d5be1106267c3d5c9f23dc457f0ce7e577b6f3b94faeb8b28306c64649725d,12,12,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,267805246917825788,world_hie-seed-267805246917825788,246b64786f5967a155531dc27c3314b3dbd18947843f6a329a26b181ee54683d,12,12,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,5323512391870954056,world_hie-seed-5323512391870954056,34cac1b66cf5840bfc687168f34a819a995fab9fb7405ee45b769bfee16c1cd2,12,12,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,1172434494149480746,world_hie-seed-1172434494149480746,d85fdf131923b4300aee551de3a3c333b6cedfc63a860ba98a53f9dbc7d8fecd,12,5,0,6
developmental_synthetic,baseline_hie,development,world_hie,development,5726125126166933359,world_hie-seed-5726125126166933359,6b1bec2df459339abbcdce32fcb8e8a8c537d6f15d7f06e113c656ca7153c77f,12,12,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,319014136358887567,world_hie-seed-319014136358887567,551876305e3028d14da44534cd979483d71de38dbf229a11923407a65fc38255,12,11,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,3209872604180264923,world_hie-seed-3209872604180264923,a6d569fc8356960c48138ceaa26307a167e0a68e354eeb065242d209c5574398,12,12,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,6784579373204956173,world_hie-seed-6784579373204956173,d0a0cb905abd0828a0f468217fd8be758b5e0f65b1e97626f54c67f6db7b5a57,12,5,0,6
developmental_synthetic,baseline_hie,development,world_hie,development,4191090533071896547,world_hie-seed-4191090533071896547,aefcb431179979b629f7f622619fb58ebff4de4bf5b6fe9a62fe3667c0a07dd6,12,11,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,9117653556647870869,world_hie-seed-9117653556647870869,b2204924fced809e7d1b67e591048c81fc46b7462e08cfff225d481aa0b76c5a,12,5,0,6
developmental_synthetic,baseline_hie,development,world_hie,development,8669772086981772072,world_hie-seed-8669772086981772072,61dc692bd4fca8f92e2f3e27c881a2c6381f966262d6e80d881d8822a53e4029,12,12,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,3353631954069894546,world_hie-seed-3353631954069894546,4ddf94b43003112e8b43de79867b9eb3791da46f29dcab12f34bd6353f87c0fc,12,12,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,9078621501550203399,world_hie-seed-9078621501550203399,a0c0e97ca814588031fd41b6a2159ad90ca3aceaf9b0035a6a19c6085b8e64a1,12,12,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,2232509440464157497,world_hie-seed-2232509440464157497,79f9df76eb3ec4beb6f4a6c17fb97643cb87ee782f0ee038956712e75e45c98a,12,12,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,1318810389743050509,world_hie-seed-1318810389743050509,820e2262225bdb0ecbd720f489900bcb949c67038a43ccb9cf332cf2a81568ae,12,12,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,2672526422288897444,world_hie-seed-2672526422288897444,7e07b853e55324ad8747f862f4762ff85900db9c5a3032edfda20386318f25bb,12,12,0,0
developmental_synthetic,baseline_hie,development,world_hie,development,2184401695212112810,world_hie-seed-2184401695212112810,6bb83b8d6007b1dcef7e978a7cb7cacc18859a5ac6df119b0afc18b5d56233a3,12,5,0,6
developmental_synthetic,baseline_bottleneck,development,world_bottleneck,development,4594190432599945735,world_bottleneck-seed-4594190432599945735,e1dc7babc7d6c15078e9d4fc2319781d0c6f491bbc39906a186a80cf8d4e18c0,12,5,0,6
developmental_synthetic,baseline_bottleneck,development,world_bottleneck,development,8166473292603767607,world_bottleneck-seed-8166473292603767607,c0858c1c9218d2431f1e78fed89460dc73e912b4b59411118d45084a9b6d4893,12,12,0,0
developmental_synthetic,baseline_bottleneck,development,world_bottleneck,development,4170565587130884155,world_bottleneck-seed-4170565587130884155,8384328bb7d4b13bc2117e2c7817a9c53ee1281d98634d5a44d6739f5b575f7a,12,11,0,0
developmental_synthetic,baseline_bottleneck,development,world_bottleneck,development,2717423041065866496,world_bottleneck-seed-2717423041065866496,daaf99594b3c21028fc077f4d1082e618881e5613946698e5cba86367df3d9c8,12,12,0,0
developmental_synthetic,baseline_bottleneck,development,world_bottleneck,development,3300210048293211683,world_bottleneck-seed-3300210048293211683,7a9fabefbb37987ae2de59e1aba603f25df6f6c80b062f8f3f07c0da492c0176,12,12,0,0
