status,scenario_id,family,model,n,brier_score,log_loss,ece,relative_brier_skill_vs_story_points,bottleneck_accuracy,bottleneck_eligible_n,bottleneck_abstained_n
developmental_synthetic,baseline_sp,development,story_points,288,0.15053001381274717,0.5771926056234106,0.12774576259950776,0.0,0.0,0,288
developmental_synthetic,baseline_sp,development,hie_compatible,288,0.14599651812765804,0.5189462563042135,0.10856096986045294,0.030116888786900636,0.0,0,288
developmental_synthetic,baseline_sp,development,simple_role_load,288,0.15016960813176305,0.5714920271155154,0.12632725035061398,0.0023942446549725265,0.7083333333333334,288,0
developmental_synthetic,baseline_sp,development,proposed_model,288,0.14871817158912734,0.55070974823131,0.12044557957232072,0.012036418370848477,0.7083333333333334,288,0
developmental_synthetic,baseline_sp,development,oracle,288,0.13421103395061781,0.4392089733011655,4.440892098500626e-15,0.10841013993680661,1.0,288,0
developmental_synthetic,baseline_hie,development,story_points,288,0.10827788863979722,0.4232574204382217,0.08260687371061892,0.0,0.0,0,288
developmental_synthetic,baseline_hie,development,hie_compatible,288,0.10547635341031879,0.3871291266745851,0.0634220809715641,0.02587356721369181,0.0,0,288
developmental_synthetic,baseline_hie,development,simple_role_load,288,0.10804554309239484,0.41958230489329185,0.08118836146172514,0.002145826357727706,0.8333333333333334,288,0
developmental_synthetic,baseline_hie,development,proposed_model,288,0.1056354738564726,0.3887872632893161,0.06466437041305251,0.024404010980626115,0.8333333333333334,288,0
developmental_synthetic,baseline_hie,development,oracle,288,0.10145399305555586,0.3559918914422225,3.6637359812630166e-15,0.0630220599049736,1.0,288,0
developmental_synthetic,baseline_bottleneck,development,story_points,288,0.12452870601400871,0.4824632608940629,0.09996798482172997,0.0,0.0,0,288
developmental_synthetic,baseline_bottleneck,development,hie_compatible,288,0.12106103214775724,0.437828022685981,0.08078319208267515,0.027846381587401912,0.0,0,288
developmental_synthetic,baseline_bottleneck,development,simple_role_load,288,0.12424710656907506,0.4780091211326082,0.0985494725728362,0.0022613215373969648,0.9166666666666666,288,0
developmental_synthetic,baseline_bottleneck,development,proposed_model,288,0.1206078400471292,0.43327827737710795,0.07792773589959467,0.03148563967603135,0.9166666666666666,288,0
developmental_synthetic,baseline_bottleneck,development,oracle,288,0.11453510802469141,0.39006637063884636,5.551115123125783e-15,0.0802513597803954,1.0,288,0
developmental_synthetic,review_capacity_low,sensitivity,story_points,576,0.27743849334746495,0.9294850552838783,0.2528020629029013,0.0,0.0,0,576
developmental_synthetic,review_capacity_low,sensitivity,hie_compatible,576,0.2621060105888943,0.812996478731835,0.22040054502969697,0.05526443924047762,0.0,0,576
developmental_synthetic,review_capacity_low,sensitivity,simple_role_load,576,0.23866408681597612,0.6979504092921457,0.1585385646348142,0.13975856797538053,0.7916666666666666,576,0
developmental_synthetic,review_capacity_low,sensitivity,proposed_model,576,0.220344359714114,0.6363827434251642,0.08255149528994221,0.205790238205504,0.7916666666666666,576,0
developmental_synthetic,review_capacity_low,sensitivity,oracle,576,0.21352961033950532,0.61832055990562,5.10702591327572e-15,0.23035333791234197,1.0,576,0
developmental_synthetic,review_capacity_high,sensitivity,story_points,576,0.3051743861677848,1.0176260809249058,0.2840520629029013,0.0,0.0,0,576
developmental_synthetic,review_capacity_high,sensitivity,hie_compatible,576,0.2878168085421395,0.885825004372861,0.25165054502969697,0.05687757037414711,0.0,0,576
developmental_synthetic,review_capacity_high,sensitivity,simple_role_load,576,0.32163720663274215,1.2287053946198694,0.3116863726638336,-0.05394561670685588,0.3333333333333333,576,0
developmental_synthetic,review_capacity_high,sensitivity,proposed_model,576,0.31085928063756346,1.076223366463517,0.29388853143524984,-0.01862834735629845,0.3333333333333333,576,0
developmental_synthetic,review_capacity_high,sensitivity,oracle,576,0.22448881172839297,0.6412195543713306,5.10702591327572e-15,0.26439169896464026,1.0,576,0
developmental_synthetic,load_low,sensitivity,story_points,144,0.11296365257128002,0.4617103953744201,0.09404898305274445,0.0,0.0,0,144
developmental_synthetic,load_low,sensitivity,hie_compatible,144,0.11043156725898157,0.41892885881393416,0.07945518171243571,0.022415044615352795,0.0,0,144
developmental_synthetic,load_low,sensitivity,simple_role_load,144,0.11473310093553277,0.5089322155591661,0.10302747001411028,-0.015663873502463323,0.7916666666666666,144,0
developmental_synthetic,load_low,sensitivity,proposed_model,144,0.11285300102995774,0.45937692285873616,0.09345886620290678,0.000979532254876947,0.7916666666666666,144,0
developmental_synthetic,load_low,sensitivity,oracle,144,0.1041184413580252,0.36303283548435566,1.2212453270876722e-15,0.07830139174787658,1.0,144,0
developmental_synthetic,load_high,sensitivity,story_points,864,0.39466828634023915,1.1683845830978175,0.3809880300200581,0.0,0.0,0,864
developmental_synthetic,load_high,sensitivity,hie_compatible,864,0.3576219050292174,0.993699935700113,0.3287940049750795,0.09386713499215503,0.0,0,864
developmental_synthetic,load_high,sensitivity,simple_role_load,864,0.24952052504390693,0.6921879365879351,0.0020292171477284127,0.3677715345265972,0.25,864,0
developmental_synthetic,load_high,sensitivity,proposed_model,864,0.26444702947585214,0.7225765004943888,0.12219092500746609,0.3299511548595134,0.25,864,0
developmental_synthetic,load_high,sensitivity,oracle,864,0.2495164073216723,0.692179683145941,7.993605777301127e-15,0.3677819679016039,1.0,864,0
developmental_synthetic,recovery_service_low,parameter_recovery,story_points,288,0.15703034076243197,0.6008749418057471,0.13469020704395218,0.0,0.0,0,288
developmental_synthetic,recovery_service_low,parameter_recovery,hie_compatible,288,0.15223038962263327,0.5392258147087752,0.11550541430489736,0.03056703001785143,0.0,0,288
developmental_synthetic,recovery_service_low,parameter_recovery,simple_role_load,288,0.1566502335224353,0.594862753611241,0.1332716947950584,0.0024205974345539783,0.7083333333333334,288,0
developmental_synthetic,recovery_service_low,parameter_recovery,proposed_model,288,0.1515789019537363,0.5326856207932384,0.11264995812181688,0.034715831235079854,0.7083333333333334,288,0
developmental_synthetic,recovery_service_low,parameter_recovery,oracle,288,0.1388888888888892,0.45056120886630346,3.4416913763379853e-15,0.11552832265064371,1.0,288,0
developmental_synthetic,recovery_service_high,parameter_recovery,story_points,288,0.14727985033790478,0.5653514375322406,0.12427354037728555,0.0,0.0,0,288
developmental_synthetic,recovery_service_high,parameter_recovery,hie_compatible,288,0.14287958238017096,0.5088064771019357,0.10508874763823073,0.029876917634274268,0.0,0,288
developmental_synthetic,recovery_service_high,parameter_recovery,simple_role_load,288,0.14692929543642744,0.5598066638676509,0.12285502812839177,0.002380195937686388,0.875,288,0
developmental_synthetic,recovery_service_high,parameter_recovery,proposed_model,288,0.1422875833817544,0.5028634177684004,0.10223329145515025,0.033896469508195436,0.875,288,0
developmental_synthetic,recovery_service_high,parameter_recovery,oracle,288,0.1318359375,0.43339887329074694,0.0,0.10486100306641909,1.0,288,0
developmental_synthetic,edge_no_rework,edge,story_points,288,0.0010224939700031143,0.032498873429676216,0.03197645962271445,0.0,0.0,0,288
developmental_synthetic,edge_no_rework,edge,hie_compatible,288,0.0026174737432249334,0.05251641299937366,0.05116125236176927,-1.5598916179593325,0.0,0,288
developmental_synthetic,edge_no_rework,edge,simple_role_load,288,0.0011152241463054718,0.03396531771380337,0.033394971871608226,-0.09069019380336797,0.8333333333333334,288,0
developmental_synthetic,edge_no_rework,edge,proposed_model,288,0.0011152241463054718,0.03396531771380337,0.033394971871608226,-0.09069019380336797,0.8333333333333334,288,0
developmental_synthetic,edge_no_rework,edge,oracle,288,0.0,9.99200722162641e-16,0.0,1.0,1.0,288,0
developmental_synthetic,edge_severe_queue,adversarial_development,story_points,1152,0.5656907173781975,1.4876670510916181,0.6362855593655965,0.0,0.0,0,1152
developmental_synthetic,edge_severe_queue,adversarial_development,hie_compatible,1152,0.4725406963367144,1.194055889866944,0.5583093157164267,0.16466598828632864,0.0,0,1152
developmental_synthetic,edge_severe_queue,adversarial_development,simple_role_load,1152,0.16143803411624638,0.5043353901248373,0.024629855770111564,0.7146178483103595,0.0,1152,0
developmental_synthetic,edge_severe_queue,adversarial_development,proposed_model,1152,0.16829900164169775,0.5331553718990494,0.0864152609248514,0.702489370124877,0.0,1152,0
developmental_synthetic,edge_severe_queue,adversarial_development,oracle,1152,0.16083140432098644,0.5023218146358509,2.6645352591003757e-15,0.7156902183822451,1.0,1152,0
