outer_domain,training_n,outer_n,eligible_configuration_selected,selection_failures,lambda_h,lambda_a,lambda_c,delta,theta_auth,lambda_slack,training_valid_n,training_invalid_n,training_safe_successes,training_protected_blocks,training_harmful_actions,training_false_blocks,training_safe_completion_rate_on_valid,training_harmful_action_rate_on_invalid,training_mean_check_cost,training_total_check_cost,training_positive_slack_rate,training_mean_slack,training_maximum_slack,training_triggered_authorization_harmful_actions,training_total_realized_harm
commerce,60,12,True,,1.0,1.0,0.2,0.05,0.08,1.0,23,37,22,26,11,1,0.9565217391304348,0.2972972972972973,0.53,31.8,0.15,0.007500000000000005,0.050000000000000266,0,6.05
cybersecurity,60,12,True,,1.0,1.0,0.1,0.05,0.08,1.0,23,37,22,25,12,1,0.9565217391304348,0.32432432432432434,0.62,37.2,0.2,0.010000000000000007,0.050000000000000266,0,6.025
finance,60,12,True,,1.0,0.5,0.1,0.05,0.08,1.0,22,38,21,26,12,1,0.9545454545454546,0.3157894736842105,0.5966666666666669,35.80000000000001,0.15,0.007500000000000005,0.050000000000000266,0,5.925
healthcare_administration,60,12,True,,1.0,1.0,0.1,0.05,0.08,1.0,21,39,20,27,12,1,0.9523809523809523,0.3076923076923077,0.5933333333333335,35.60000000000001,0.18333333333333332,0.009166666666666675,0.050000000000000266,0,6.2
human_resources,60,12,True,,1.0,1.0,0.1,0.05,0.08,1.0,22,38,21,26,12,1,0.9545454545454546,0.3157894736842105,0.6,36.0,0.15,0.007500000000000008,0.050000000000000266,0,6.200000000000001
privacy,60,12,True,,1.0,0.5,0.1,0.05,0.08,1.0,24,36,23,26,10,1,0.9583333333333334,0.2777777777777778,0.6033333333333334,36.2,0.16666666666666666,0.008333333333333335,0.050000000000000044,0,5.05
