policy,n,valid_n,invalid_n,safe_successes,protected_blocks,harmful_actions,false_blocks,safe_completion_rate_on_valid,harmful_action_rate_on_invalid,mean_check_cost,total_check_cost,positive_slack_rate,mean_slack,maximum_slack,triggered_authorization_harmful_actions,total_realized_harm
STATIC,72,27,45,27,0,45,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,26.89999999999999
CONTRACT_ONLY,72,27,45,27,35,10,0,1.0,0.2222222222222222,0.9555555555555553,68.79999999999998,0.0,0.0,0.0,0,5.55
FIXED_0.10,72,27,45,27,45,0,0,1.0,0.0,1.3194444444444442,94.99999999999999,0.0,0.0,0.0,0,0.0
FIXED_0.20,72,27,45,27,27,18,0,1.0,0.4,0.7999999999999998,57.59999999999999,0.0,0.0,0.0,0,9.55
FIXED_0.35,72,27,45,27,5,40,0,1.0,0.8888888888888888,0.15,10.799999999999999,0.0,0.0,0.0,0,24.075
FIXED_0.50,72,27,45,27,0,45,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0,26.89999999999999
ALWAYS_REFRESH,72,27,45,27,45,0,0,1.0,0.0,1.4555555555555555,104.8,0.0,0.0,0.0,0,0.0
RAER_V1,72,27,45,16,29,16,11,0.5925925925925926,0.35555555555555557,0.3638888888888887,26.19999999999999,0.0,0.0,0.0,0,7.625
RAER_V2_OUT_OF_FOLD,72,27,45,25,31,14,2,0.9259259259259259,0.3111111111111111,0.5472222222222224,39.40000000000001,0.16666666666666666,0.008333333333333338,0.050000000000000266,0,6.9
